region,fips,population
Spencer County,21215,19351
Taylor County,21217,25769
Todd County,21219,12294
Trigg County,21221,14651
Trimble County,21223,8471
Union County,21225,14381
Warren County,21227,132896
Washington County,21229,12095
Wayne County,21231,20333
Webster County,21233,12942
Whitley County,21235,36264
Wolfe County,21237,7157
Woodford County,21239,26734
Acadia Parish,22001,62045
Allen Parish,22003,25627
Ascension Parish,22005,126604
Assumption Parish,22007,21891
Avoyelles Parish,22009,40144
Beauregard Parish,22011,37497
Bienville Parish,22013,13241
Bossier Parish,22015,127039
Caddo Parish,22017,240204
Calcasieu Parish,22019,203436
Caldwell Parish,22021,9918
Cameron Parish,22023,6973
Catahoula Parish,22025,9494
Claiborne Parish,22027,15670
Concordia Parish,22029,19259
De Soto Parish,22031,27463
East Baton Rouge Parish,22033,440059
East Carroll Parish,22035,6861
East Feliciana Parish,22037,19135
Evangeline Parish,22039,33395
Franklin Parish,22041,20015
Grant Parish,22043,22389
Iberia Parish,22045,69830
Iberville Parish,22047,32511
Jackson Parish,22049,15744
Jefferson Parish,22051,432493
Jefferson Davis Parish,22053,31368
Lafayette Parish,22055,244390
Lafourche Parish,22057,97614
LaSalle Parish,22059,14892
Lincoln Parish,22061,46742
Livingston Parish,22063,140789
Madison Parish,22065,10951
Morehouse Parish,22067,24874
Natchitoches Parish,22069,38158
Orleans Parish,22071,390144
Ouachita Parish,22073,153279
Plaquemines Parish,22075,23197
Pointe Coupee Parish,22077,21730
Rapides Parish,22079,129648
Red River Parish,22081,8442
Richland Parish,22083,20122
Sabine Parish,22085,23884
St. Bernard Parish,22087,47244
St. Charles Parish,22089,53100
St. Helena Parish,22091,10132
St. James Parish,22093,21096
St. John the Baptist Parish,22095,42837
St. Landry Parish,22097,82124
St. Martin Parish,22099,53431
St. Mary Parish,22101,49348
St. Tammany Parish,22103,260419
Tangipahoa Parish,22105,134758
Tensas Parish,22107,4334
Terrebonne Parish,22109,110461
Union Parish,22111,22108
Vermilion Parish,22113,59511
Vernon Parish,22115,47429
Washington Parish,22117,46194
Webster Parish,22119,38340
West Baton Rouge Parish,22121,26465
West Carroll Parish,22123,10830
West Feliciana Parish,22125,15568
Winn Parish,22127,13904
Androscoggin County,23001,108277
Aroostook County,23003,67055
Cumberland County,23005,295003
Franklin County,23007,30199
Hancock County,23009,54987
Kennebec County,23011,122302
Knox County,23013,39772
Lincoln County,23015,34634
Oxford County,23017,57975
Penobscot County,23019,152148
Piscataquis County,23021,16785
Sagadahoc County,23023,35856
Somerset County,23025,50484
Waldo County,23027,39715
Washington County,23029,31379
York County,23031,207641
Allegany County,24001,70416
Anne Arundel County,24003,579234
Baltimore County,24005,827370
Calvert County,24009,92525
Caroline County,24011,33406
Carroll County,24013,168447
Cecil County,24015,102855
Charles County,24017,163257
Dorchester County,24019,31929
Frederick County,24021,259547
Garrett County,24023,29014
Harford County,24025,255441
Howard County,24027,325690
Kent County,24029,19422
Montgomery County,24031,1050688
Prince George's County,24033,909327
Queen Anne's County,24035,50381
St. Mary's County,24037,113510
Somerset County,24039,25616
Talbot County,24041,37181
Washington County,24043,151049
Wicomico County,24045,103609
Worcester County,24047,52276
Baltimore city,24510,593490
Barnstable County,25001,212990
Berkshire County,25003,124944
Bristol County,25005,565217
Dukes County,25007,17332
Essex County,25009,789034
Franklin County,25011,70180
Hampden County,25013,466372
Hampshire County,25015,160830
Middlesex County,25017,1611699
Nantucket County,25019,11399
Norfolk County,25021,706775
Plymouth County,25023,521202
Suffolk County,25025,803907
Worcester County,25027,830622
Alcona County,26001,10405
Alger County,26003,9108
Allegan County,26005,118081
Alpena County,26007,28405
Antrim County,26009,23324
Arenac County,26011,14883
Baraga County,26013,8209
Barry County,26015,61550
Bay County,26017,103126
Benzie County,26019,17766
Berrien County,26021,153401
Branch County,26023,43517
Calhoun County,26025,134159
Cass County,26027,51787
Charlevoix County,26029,26143
Cheboygan County,26031,25276
Chippewa County,26033,37349
Clare County,26035,30950
Clinton County,26037,79595
Crawford County,26039,14029
Delta County,26041,35784
Dickinson County,26043,25239
Eaton County,26045,110268
Emmet County,26047,33415
Genesee County,26049,405813
Gladwin County,26051,25449
Gogebic County,26053,13975
Grand Traverse County,26055,93088
Gratiot County,26057,40711
Hillsdale County,26059,45605
Houghton County,26061,35684
Huron County,26063,30981
Ingham County,26065,292406
Ionia County,26067,64697
Iosco County,26069,25127
Iron County,26071,11066
Isabella County,26073,69872
Jackson County,26075,158510
Kalamazoo County,26077,265066
Kalkaska County,26079,18038
Kent County,26081,656955
Keweenaw County,26083,2116
Lake County,26085,11853
Lapeer County,26087,87607
Leelanau County,26089,21761
Lenawee County,26091,98451
Livingston County,26093,191995
Luce County,26095,6229
Mackinac County,26097,10799
Macomb County,26099,873972
Manistee County,26101,24558
Marquette County,26103,66699
Mason County,26105,29144
Mecosta County,26107,43453
Menominee County,26109,22780
Midland County,26111,83156
Missaukee County,26113,15118
Monroe County,26115,150500
Montcalm County,26117,63888
Montmorency County,26119,9328
Muskegon County,26121,173566
Newaygo County,26123,48980
Oakland County,26125,1257584
Oceana County,26127,26467
Ogemaw County,26129,20997
Ontonagon County,26131,5720
Osceola County,26133,23460
Oscoda County,26135,8241
Otsego County,26137,24668
Ottawa County,26139,291830
Presque Isle County,26141,12592
Roscommon County,26143,24019
Saginaw County,26145,190539
St. Clair County,26147,159128
St. Joseph County,26149,60964
Sanilac County,26151,41170
Schoolcraft County,26153,8094
Shiawassee County,26155,68122
Tuscola County,26157,52245
Van Buren County,26159,75677
Washtenaw County,26161,367601
Wayne County,26163,1749343
Wexford County,26165,33631
Aitkin County,27001,15886
Anoka County,27003,356921
Becker County,27005,34423
Beltrami County,27007,47188
Benton County,27009,40889
Big Stone County,27011,4991
Blue Earth County,27013,67653
Brown County,27015,25008
Carlton County,27017,35871
Carver County,27019,105089
Cass County,27021,29779
Chippewa County,27023,11800
Chisago County,27025,56579
Clay County,27027,64222
Clearwater County,27029,8818
Cook County,27031,5463
Cottonwood County,27033,11196
Crow Wing County,27035,65055
Dakota County,27037,429021
Dodge County,27039,20934
Douglas County,27041,38141
Faribault County,27043,13653
Fillmore County,27045,21067
Freeborn County,27047,30281
Goodhue County,27049,46340
Grant County,27051,5972
Hennepin County,27053,1265843
Houston County,27055,18600
Hubbard County,27057,21491
Isanti County,27059,40596
Itasca County,27061,45130
Jackson County,27063,9846
Kanabec County,27065,16337
Kandiyohi County,27067,43199
Kittson County,27069,4298
Koochiching County,27071,12229
Lac qui Parle County,27073,6623
Lake County,27075,10641
Lake of the Woods County,27077,3740
Le Sueur County,27079,28887
Lincoln County,27081,5639
Lyon County,27083,25474
McLeod County,27085,35893
Mahnomen County,27087,5527
Marshall County,27089,9336
Martin County,27091,19683
Meeker County,27093,23222
Mille Lacs County,27095,26277
Morrison County,27097,33386
Mower County,27099,40062
Murray County,27101,8194
Nicollet County,27103,34274
Nobles County,27105,21629
Norman County,27107,6375
Olmsted County,27109,158293
Otter Tail County,27111,58746
Pennington County,27113,14119
Pine County,27115,29579
Pipestone County,27117,9126
Polk County,27119,31364
Pope County,27121,11249
Ramsey County,27123,550321
Red Lake County,27125,4055
Redwood County,27127,15170
Renville County,27129,14548
Rice County,27131,66972
Rock County,27133,9315
Roseau County,27135,15165
St. Louis County,27137,199070
Scott County,27139,149013
Sherburne County,27141,97238
Sibley County,27143,14865
Stearns County,27145,161075
Steele County,27147,36649
Stevens County,27149,9805
Swift County,27151,9266
Todd County,27153,24664
Traverse County,27155,3259
Wabasha County,27157,21627
Wadena County,27159,13682
Waseca County,27161,18612
Washington County,27163,262440
Watonwan County,27165,10897
Wilkin County,27167,6207
Winona County,27169,50484
Wright County,27171,138377
Yellow Medicine County,27173,9709
Adams County,28001,30693
Alcorn County,28003,36953
Amite County,28005,12297
Attala County,28007,18174
Benton County,28009,8259
Bolivar County,28011,30628
Calhoun County,28013,14361
Carroll County,28015,9947
Chickasaw County,28017,17103
Choctaw County,28019,8210
Claiborne County,28021,8988
Clarke County,28023,15541
Clay County,28025,19316
Coahoma County,28027,22124
Copiah County,28029,28065
Covington County,28031,18636
DeSoto County,28033,184945
Forrest County,28035,74897
Franklin County,28037,7713
George County,28039,24500
Greene County,28041,13586
Grenada County,28043,20758
Hancock County,28045,47632
Harrison County,28047,208080
Hinds County,28049,231840
Holmes County,28051,17010
Humphreys County,28053,8064
Issaquena County,28055,1327
Itawamba County,28057,23390
Jackson County,28059,143617
Jasper County,28061,16383
Jefferson County,28063,6990
Jefferson Davis County,28065,11128
Jones County,28067,68098
Kemper County,28069,9742
Lafayette County,28071,54019
Lamar County,28073,63343
Lauderdale County,28075,74125
Lawrence County,28077,12586
Leake County,28079,22786
Lee County,28081,85436
Leflore County,28083,28183
Lincoln County,28085,34153
Lowndes County,28087,58595
Madison County,28089,106272
Marion County,28091,24573
Marshall County,28093,35294
Monroe County,28095,35252
Montgomery County,28097,9775
Neshoba County,28099,29118
Newton County,28101,21018
Noxubee County,28103,10417
Oktibbeha County,28105,49587
Panola County,28107,34192
Pearl River County,28109,55535
Perry County,28111,11973
Pike County,28113,39288
Pontotoc County,28115,32174
Prentiss County,28117,25126
Quitman County,28119,6792
Rankin County,28121,155271
Scott County,28123,28124
Sharkey County,28125,4321
Simpson County,28127,26658
Smith County,28129,15916
Stone County,28131,18336
Sunflower County,28133,25110
Tallahatchie County,28135,13809
Tate County,28137,28321
Tippah County,28139,22015
Tishomingo County,28141,19383
Tunica County,28143,9632
Union County,28145,28815
Walthall County,28147,14286
Warren County,28149,45381
Washington County,28151,43909
Wayne County,28153,20183
Webster County,28155,9689
Wilkinson County,28157,8630
Winston County,28159,17955
Yalobusha County,28161,12108
Yazoo County,28163,29690
Adair County,29001,25343
Andrew County,29003,17712
Atchison County,29005,5143
Audrain County,29007,25388
Barry County,29009,35789
Barton County,29011,11754
Bates County,29013,16172
Benton County,29015,19443
Bollinger County,29017,12133
Boone County,29019,180463
Buchanan County,29021,87364
Butler County,29023,42478
Caldwell County,29025,9020
Callaway County,29027,44743
Camden County,29029,46305
Cape Girardeau County,29031,78871
Carroll County,29033,8679
Carter County,29035,5982
Cass County,29037,105780
Cedar County,29039,14349
Chariton County,29041,7426
Christian County,29043,88595
Clark County,29045,6797
Clay County,29047,249948
Clinton County,29049,20387
Cole County,29051,76745
Cooper County,29053,17709
Crawford County,29055,23920
Dade County,29057,7561
Dallas County,29059,16878
Daviess County,29061,8278
DeKalb County,29063,12547
Dent County,29065,15573
Douglas County,29067,13185
Dunklin County,29069,29131
Franklin County,29071,103967
Gasconade County,29073,14706
Gentry County,29075,6571
Greene County,29077,293086
Grundy County,29079,9850
Harrison County,29081,8352
Henry County,29083,21824
Hickory County,29085,9544
Holt County,29087,4403
Howard County,29089,10001
Howell County,29091,40117
Iron County,29093,10125
Jackson County,29095,703011
Jasper County,29097,121328
Jefferson County,29099,225081
Johnson County,29101,54062
Knox County,29103,3959
Laclede County,29105,35723
Lafayette County,29107,32708
Lawrence County,29109,38355
Lewis County,29111,9776
Lincoln County,29113,59013
Linn County,29115,11920
Livingston County,29117,15227
McDonald County,29119,22837
Macon County,29121,15117
Madison County,29123,12088
Maries County,29125,8697
Marion County,29127,28530
Mercer County,29129,3617
Miller County,29131,25619
Mississippi County,29133,13180
Moniteau County,29135,16132
Monroe County,29137,8644
Montgomery County,29139,11551
Morgan County,29141,20627
New Madrid County,29143,17076
Newton County,29145,58236
Nodaway County,29147,22092
Oregon County,29149,10529
Osage County,29151,13615
Ozark County,29153,9174
Pemiscot County,29155,15805
Perry County,29157,19136
Pettis County,29159,42339
Phelps County,29161,44573
Pike County,29163,18302
Platte County,29165,104418
Polk County,29167,32149
Pulaski County,29169,52607
Putnam County,29171,4696
Ralls County,29173,10309
Randolph County,29175,24748
Ray County,29177,23018
Reynolds County,29179,6270
Ripley County,29181,13288
St. Charles County,29183,402022
St. Clair County,29185,9397
Ste. Genevieve County,29186,17894
St. Francois County,29187,67215
St. Louis County,29189,994205
Saline County,29195,22761
Schuyler County,29197,4660
Scotland County,29199,4902
Scott County,29201,38280
Shannon County,29203,8166
Shelby County,29205,5930
Stoddard County,29207,29025
Stone County,29209,31952
Sullivan County,29211,6089
Taney County,29213,55928
Texas County,29215,25398
Vernon County,29217,20563
Warren County,29219,35649
Washington County,29221,24730
Wayne County,29223,12873
Webster County,29225,39592
Worth County,29227,2013
Wright County,29229,18289
St. Louis city,29510,300576
Beaverhead County,30001,9453
Big Horn County,30003,13319
Blaine County,30005,6681
Broadwater County,30007,6237
Carbon County,30009,10725
Carter County,30011,1252
Cascade County,30013,81366
Chouteau County,30015,5635
Custer County,30017,11402
Daniels County,30019,1690
Dawson County,30021,8613
Deer Lodge County,30023,9140
Fallon County,30025,2846
Fergus County,30027,11050
Flathead County,30029,103806
Gallatin County,30031,114434
Garfield County,30033,1258
Glacier County,30035,13753
Golden Valley County,30037,821
Granite County,30039,3379
Hill County,30041,16484
Jefferson County,30043,12221
Judith Basin County,30045,2007
Lake County,30047,30458
Lewis and Clark County,30049,69432
Liberty County,30051,2337
Lincoln County,30053,19980
McCone County,30055,1664
Madison County,30057,8600
Meagher County,30059,1862
Mineral County,30061,4397
Missoula County,30063,119600
Musselshell County,30065,4633
Park County,30067,16606
Petroleum County,30069,487
Phillips County,30071,3954
Pondera County,30073,5911
Powder River County,30075,1682
Powell County,30077,6890
Prairie County,30079,1077
Ravalli County,30081,43806
Richland County,30083,10803
Roosevelt County,30085,11004
Rosebud County,30087,8937
Sanders County,30089,12113
Sheridan County,30091,3309
Silver Bow County,30093,34915
Stillwater County,30095,9642
Sweet Grass County,30097,3737
Teton County,30099,6147
Toole County,30101,4736
Treasure County,30103,696
Valley County,30105,7396
Wheatland County,30107,2126
Wibaux County,30109,969
Yellowstone County,30111,161300
Adams County,31001,31363
Antelope County,31003,6298
Arthur County,31005,463
Banner County,31007,745
Blaine County,31009,465
Boone County,31011,5192
Box Butte County,31013,10783
Boyd County,31015,1919
Brown County,31017,2955
Buffalo County,31019,49659
Burt County,31021,6459
Butler County,31023,8016
Cass County,31025,26248
Cedar County,31027,8402
Chase County,31029,3924
Cherry County,31031,5689
Cheyenne County,31033,8910
Clay County,31035,6203
Colfax County,31037,10709
Cuming County,31039,8846
Custer County,31041,10777
Dakota County,31043,20026
Dawes County,31045,8589
Dawson County,31047,23595
Deuel County,31049,1794
Dixon County,31051,5636
Dodge County,31053,36565
Douglas County,31055,571327
Dundy County,31057,1693
Fillmore County,31059,5462
Franklin County,31061,2979
Frontier County,31063,2627
Furnas County,31065,4676
Gage County,31067,21513
Garden County,31069,1837
Garfield County,31071,1969
Gosper County,31073,1990
Grant County,31075,623
Greeley County,31077,2356
Hall County,31079,61353
Hamilton County,31081,9324
Harlan County,31083,3380
Hayes County,31085,922
Hitchcock County,31087,2762
Holt County,31089,10067
Hooker County,31091,682
Howard County,31093,6445
Jefferson County,31095,7046
Johnson County,31097,5071
Kearney County,31099,6495
Keith County,31101,8034
Keya Paha County,31103,806
Kimball County,31105,3632
Knox County,31107,8332
Lancaster County,31109,319090
Lincoln County,31111,34914
Logan County,31113,748
Loup County,31115,664
McPherson County,31117,494
Madison County,31119,35099
Merrick County,31121,7755
Morrill County,31123,4642
Nance County,31125,3519
Nemaha County,31127,6972
Nuckolls County,31129,4148
Otoe County,31131,16012
Pawnee County,31133,2613
Perkins County,31135,2891
Phelps County,31137,9034
Pierce County,31139,7148
Platte County,31141,33470
Polk County,31143,5213
Red Willow County,31145,10724
Richardson County,31147,7865
Rock County,31149,1357
Saline County,31151,14224
Sarpy County,31153,187196
Saunders County,31155,21578
Scotts Bluff County,31157,35618
Seward County,31159,17284
Sheridan County,31161,5246
Sherman County,31163,3001
Sioux County,31165,1166
Stanton County,31167,5920
Thayer County,31169,5003
Thomas County,31171,722
Thurston County,31173,7224
Valley County,31175,4158
Washington County,31177,20729
Wayne County,31179,9385
Webster County,31181,3487
Wheeler County,31183,783
York County,31185,13679
Churchill County,32001,24909
Clark County,32003,2266715
Douglas County,32005,48905
Elko County,32007,52778
Esmeralda County,32009,873
Eureka County,32011,2029
Humboldt County,32013,16831
Lander County,32015,5532
Lincoln County,32017,5183
Lyon County,32019,57510
Mineral County,32021,4505
Nye County,32023,46523
Pershing County,32027,6725
Storey County,32029,4123
Washoe County,32031,471519
White Pine County,32033,9580
Carson City,32510,55916
Belknap County,33001,61303
Carroll County,33003,48910
Cheshire County,33005,76085
Coos County,33007,31563
Grafton County,33009,89886
Hillsborough County,33011,417025
Merrimack County,33013,151391
Rockingham County,33015,309769
Strafford County,33017,130633
Sullivan County,33019,43146
Atlantic County,34001,263670
Bergen County,34003,932202
Burlington County,34005,445349
Camden County,34007,506471
Cape May County,34009,92039
Cumberland County,34011,149527
Essex County,34013,798975
Gloucester County,34015,291636
Hudson County,34017,672391
Hunterdon County,34019,124371
Mercer County,34021,367430
Middlesex County,34023,825062
Monmouth County,34025,618795
Morris County,34027,491845
Ocean County,34029,607186
Passaic County,34031,501826
Salem County,34033,62385
Somerset County,34035,328934
Sussex County,34037,140488
Union County,34039,556341
Warren County,34041,105267
Bernalillo County,35001,679121
Catron County,35003,3527
Chaves County,35005,64615
Cibola County,35006,26675
Colfax County,35007,11941
Curry County,35009,48954
De Baca County,35011,1748
Doña Ana County,35013,218195
Eddy County,35015,58460
Grant County,35017,26998
Guadalupe County,35019,4300
Harding County,35021,625
Hidalgo County,35023,4198
Lea County,35025,71070
Lincoln County,35027,19572
Los Alamos County,35028,19369
Luna County,35029,23709
McKinley County,35031,71367
Mora County,35033,4521
Otero County,35035,67490
Quay County,35037,8253
Rio Arriba County,35039,38921
Roosevelt County,35041,18500
Sandoval County,35043,146748
San Juan County,35045,123958
San Miguel County,35047,27277
Santa Fe County,35049,150358
Sierra County,35051,10791
Socorro County,35053,16637
Taos County,35055,32723
Torrance County,35057,15461
Union County,35059,4059
Valencia County,35061,76688
Albany County,36001,305506
Allegany County,36003,46091
Bronx County,36005,1418207
Broome County,36007,190488
Cattaraugus County,36009,76117
Cayuga County,36011,76576
Chautauqua County,36013,126903
Chemung County,36015,83456
Chenango County,36017,47207
Clinton County,36019,80485
Columbia County,36021,59461
Cortland County,36023,47581
Delaware County,36025,44135
Dutchess County,36027,294218
Erie County,36029,918702
Essex County,36031,36885
Franklin County,36033,50022
Fulton County,36035,53383
Genesee County,36037,57280
Greene County,36039,47188
Hamilton County,36041,4416
Herkimer County,36043,61319
Jefferson County,36045,109834
Kings County,36047,2559903
Lewis County,36049,26296
Livingston County,36051,62914
Madison County,36053,70941
Monroe County,36055,741770
Montgomery County,36057,49221
Nassau County,36059,1356924
New York County,36061,1628706
Niagara County,36063,209281
Oneida County,36065,228671
Onondaga County,36067,460528
Ontario County,36069,109777
Orange County,36071,384940
Orleans County,36073,40352
Oswego County,36075,117124
Otsego County,36077,59493
Putnam County,36079,98320
Queens County,36081,2253858
Rensselaer County,36083,158714
Richmond County,36085,476143
Rockland County,36087,325789
St. Lawrence County,36089,107740
Saratoga County,36091,229863
Schenectady County,36093,155299
Schoharie County,36095,30999
Schuyler County,36097,17807
Seneca County,36099,34016
Steuben County,36101,95379
Suffolk County,36103,1476601
Sullivan County,36105,75432
Tioga County,36107,48203
Tompkins County,36109,102180
Ulster County,36111,177573
Warren County,36113,63944
Washington County,36115,61204
Wayne County,36117,89918
Westchester County,36119,967506
Wyoming County,36121,39859
Yates County,36123,24913
Alamance County,37001,169509
Alexander County,37003,37497
Alleghany County,37005,11137
Anson County,37007,24446
Ashe County,37009,27203
Avery County,37011,17557
Beaufort County,37013,46994
Bertie County,37015,18947
Bladen County,37017,32722
Brunswick County,37019,142820
Buncombe County,37021,261191
Burke County,37023,90485
Cabarrus County,37025,216453
Caldwell County,37027,82178
Camden County,37029,10867
Carteret County,37031,69473
Caswell County,37033,22604
Catawba County,37035,159551
Chatham County,37037,74470
Cherokee County,37039,28612
Chowan County,37041,13943
Clay County,37043,11231
Cleveland County,37045,97947
Columbus County,37047,55508
Craven County,37049,102139
Cumberland County,37051,335509
Currituck County,37053,27763
Dare County,37055,37009
Davidson County,37057,167609
Davie County,37059,42846
Duplin County,37061,58741
Durham County,37063,321488
Edgecombe County,37065,51472
Forsyth County,37067,382295
Franklin County,37069,69685
Gaston County,37071,224529
Gates County,37073,11562
Graham County,37075,8441
Granville County,37077,60443
Greene County,37079,21069
Guilford County,37081,537174
Halifax County,37083,50010
Harnett County,37085,135976
Haywood County,37087,62317
Henderson County,37089,117417
Hertford County,37091,23677
Hoke County,37093,55234
Hyde County,37095,4937
Iredell County,37097,181806
Jackson County,37099,43938
Johnston County,37101,209339
Jones County,37103,9419
Lee County,37105,61779
Lenoir County,37107,55949
Lincoln County,37109,86111
McDowell County,37111,45756
Macon County,37113,35858
Madison County,37115,21755
Martin County,37117,22440
Mecklenburg County,37119,1110356
Mitchell County,37121,14964
Montgomery County,37123,27173
Moore County,37125,100880
Nash County,37127,94298
New Hanover County,37129,234473
Northampton County,37131,19483
Onslow County,37133,197938
Orange County,37135,148476
Pamlico County,37137,12726
Pasquotank County,37139,39824
Pender County,37141,63060
Perquimans County,37143,13463
Person County,37145,39490
Pitt County,37147,180742
Polk County,37149,20724
Randolph County,37151,143667
Richmond County,37153,44829
Robeson County,37155,130625
Rockingham County,37157,91010
Rowan County,37159,142088
Rutherford County,37161,67029
Sampson County,37163,63531
Scotland County,37165,34823
Stanly County,37167,62806
Stokes County,37169,45591
Surry County,37171,71783
Swain County,37173,14271
Transylvania County,37175,34385
Tyrrell County,37177,4016
Union County,37179,239859
Vance County,37181,44535
Wake County,37183,1111761
Warren County,37185,19731
Washington County,37187,11580
Watauga County,37189,56177
Wayne County,37191,123131
Wilkes County,37193,68412
Wilson County,37195,81801
Yadkin County,37197,37667
Yancey County,37199,18069
Adams County,38001,2216
Barnes County,38003,10415
Benson County,38005,6832
Billings County,38007,928
Bottineau County,38009,6282
Bowman County,38011,3024
Burke County,38013,2115
Burleigh County,38015,95626
Cass County,38017,181923
Cavalier County,38019,3762
Dickey County,38021,4872
Divide County,38023,2264
Dunn County,38025,4424
Eddy County,38027,2287
Emmons County,38029,3241
Foster County,38031,3210
Golden Valley County,38033,1761
Grand Forks County,38035,69451
Grant County,38037,2274
Griggs County,38039,2231
Hettinger County,38041,2499
Kidder County,38043,2480
LaMoure County,38045,4046
Logan County,38047,1850
McHenry County,38049,5745
McIntosh County,38051,2497
McKenzie County,38053,15024
McLean County,38055,9450
Mercer County,38057,8187
Morton County,38059,31364
Mountrail County,38061,10545
Nelson County,38063,2879
Oliver County,38065,1959
Pembina County,38067,6801
Pierce County,38069,3975
Ramsey County,38071,11519
Ransom County,38073,5218
Renville County,38075,2327
Richland County,38077,16177
Rolette County,38079,14176
Sargent County,38081,3898
Sheridan County,38083,1315
Sioux County,38085,4230
Slope County,38087,750
Stark County,38089,31489
Steele County,38091,1890
Stutsman County,38093,20704
Towner County,38095,2189
Traill County,38097,8036
Walsh County,38099,10641
Ward County,38101,67641
Wells County,38103,3834
Williams County,38105,37589
Adams County,39001,27698
Allen County,39003,102351
Ashland County,39005,53484
Ashtabula County,39007,97241
Athens County,39009,65327
Auglaize County,39011,45656
Belmont County,39013,67006
Brown County,39015,43432
Butler County,39017,383134
Carroll County,39019,26914
Champaign County,39021,38885
Clark County,39023,134083
Clermont County,39025,206428
Clinton County,39027,41968
Columbiana County,39029,101883
Coshocton County,39031,36600
Crawford County,39033,41494
Cuyahoga County,39035,1235072
Darke County,39037,51113
Defiance County,39039,38087
Delaware County,39041,209177
Erie County,39043,74266
Fairfield County,39045,157574
Fayette County,39047,28525
Franklin County,39049,1316756
Fulton County,39051,42126
Gallia County,39053,29898
Geauga County,39055,93649
Greene County,39057,168937
Guernsey County,39059,38875
Hamilton County,39061,817473
Hancock County,39063,75783
Hardin County,39065,31365
Harrison County,39067,15040
Henry County,39069,27006
Highland County,39071,43161
Hocking County,39073,28264
Holmes County,39075,43960
Huron County,39077,58266
Jackson County,39079,32413
Jefferson County,39081,65325
Knox County,39083,62322
Lake County,39085,230149
Lawrence County,39087,59463
Licking County,39089,176862
Logan County,39091,45672
Lorain County,39093,309833
Lucas County,39095,428348
Madison County,39097,44731
Mahoning County,39099,228683
Marion County,39101,65093
Medina County,39103,179746
Meigs County,39105,22907
Mercer County,39107,41172
Miami County,39109,106987
Monroe County,39111,13654
Montgomery County,39113,531687
Morgan County,39115,14508
Morrow County,39117,35328
Muskingum County,39119,86215
Noble County,39121,14424
Ottawa County,39123,40525
Paulding County,39125,18672
Perry County,39127,36134
Pickaway County,39129,58457
Pike County,39131,27772
Portage County,39133,162466
Preble County,39135,40882
Putnam County,39137,33861
Richland County,39139,121154
Ross County,39141,76666
Sandusky County,39143,58518
Scioto County,39145,75314
Seneca County,39147,55178
Shelby County,39149,48590
Stark County,39151,370606
Summit County,39153,541013
Trumbull County,39155,197974
Tuscarawas County,39157,91987
Union County,39159,58988
Van Wert County,39161,28275
Vinton County,39163,13085
Warren County,39165,234602
Washington County,39167,59911
Wayne County,39169,115710
Williams County,39171,36692
Wood County,39173,130817
Wyandot County,39175,21772
Adair County,40001,22194
Alfalfa County,40003,5702
Atoka County,40005,13758
Beaver County,40007,5311
Beckham County,40009,21859
Blaine County,40011,9429
Bryan County,40013,47995
Caddo County,40015,28762
Canadian County,40017,148306
Carter County,40019,48111
Cherokee County,40021,48657
Choctaw County,40023,14672
Cimarron County,40025,2137
Cleveland County,40027,284014
Coal County,40029,5495
Comanche County,40031,120749
Cotton County,40033,5666
Craig County,40035,14142
Creek County,40037,71522
Custer County,40039,29003
Delaware County,40041,43009
Dewey County,40043,4891
Ellis County,40045,3859
Garfield County,40047,61056
Garvin County,40049,27711
Grady County,40051,55834
Grant County,40053,4333
Greer County,40055,5712
Harmon County,40057,2653
Harper County,40059,3688
Haskell County,40061,12627
Hughes County,40063,13279
Jackson County,40065,24530
Jefferson County,40067,6002
Johnston County,40069,11085
Kay County,40071,43538
Kingfisher County,40073,15765
Kiowa County,40075,8708
Latimer County,40077,10073
Le Flore County,40079,49853
Lincoln County,40081,34877
Logan County,40083,48011
Love County,40085,10253
McClain County,40087,40474
McCurtain County,40089,32832
McIntosh County,40091,19596
Major County,40093,7629
Marshall County,40095,16931
Mayes County,40097,41100
Murray County,40099,14073
Muskogee County,40101,67997
Noble County,40103,11131
Nowata County,40105,10076
Okfuskee County,40107,11993
Oklahoma County,40109,797434
Okmulgee County,40111,38465
Osage County,40113,46963
Ottawa County,40115,31127
Pawnee County,40117,16376
Payne County,40119,81784
Pittsburg County,40121,43654
Pontotoc County,40123,38284
Pottawatomie County,40125,72592
Pushmataha County,40127,11096
Roger Mills County,40129,3583
Rogers County,40131,92459
Seminole County,40133,24258
Sequoyah County,40135,41569
Stephens County,40137,43143
Texas County,40139,19983
Tillman County,40141,7250
Tulsa County,40143,651552
Wagoner County,40145,81289
Washington County,40147,51527
Washita County,40149,10916
Woods County,40151,8793
Woodward County,40153,20211
Baker County,41001,16124
Benton County,41003,93053
Clackamas County,41005,418187
Clatsop County,41007,40224
Columbia County,41009,52354
Coos County,41011,64487
Crook County,41013,24404
Curry County,41015,22925
Deschutes County,41017,197692
Douglas County,41019,110980
Gilliam County,41021,1912
Grant County,41023,7199
Harney County,41025,7393
Hood River County,41027,23382
Jackson County,41029,220944
Jefferson County,41031,24658
Josephine County,41033,87487
Klamath County,41035,68238
Lake County,41037,7869
Lane County,41039,382067
Lincoln County,41041,49962
Linn County,41043,129749
Malheur County,41045,30571
Marion County,41047,347818
Morrow County,41049,11603
Multnomah County,41051,812855
Polk County,41053,86085
Sherman County,41055,1780
Tillamook County,41057,27036
Umatilla County,41059,77950
Union County,41061,26835
Wallowa County,41063,7208
Wasco County,41065,26682
